"Name","url","Release_Date","Genre","Completed","Translator","Description","Count","Update_needed"
"4.6 Billion Year Symphony of Evolution","http://novelplanet.com/Novel/%34%2d%36%2d%42%69%6c%6c%69%6f%6e%2d%59%65%61%72%2d%53%79%6d%70%68%6f%6e%79%2d%6f%66%2d%45%76%6f%6c%75%74%69%6f%6e",2011,"Adventure, Fantasy, Sci-fi            ",FALSE,"Dreams of Jianghu","A cell that was born at the beginning of the life of a planet will see the rise and decline of countless civilizations, the speciation and extinction of organisms. Under the endless calamities of the world, nothing remains unchanging. Only by continuously changing oneself and evolving in the face of adversity could one achieve perfect victory. The story starts from a little cell…",11,FALSE
"400 Years Old Virgin Demon King","http://novelplanet.com/Novel/%34%30%30%2d%59%65%61%72%73%2d%4f%6c%64%2d%56%69%72%67%69%6e%2d%44%65%6d%6f%6e%2d%4b%69%6e%67",NA,"Action, Comedy, Fantasy, Romance            ",FALSE,"Rebirth Online World","A man who trusted a legend, believes that he could become a demon king by not breaking the taboo with a female for 400 years finally gained a mighty magical power and have termendous strength to be titled as the demon king.So the Demon proceeded to conquer the world with enormous power to make his childhood dream comes true, ‘become a great man’ >> ‘get a beautiful wife’ >> ‘be a good father’.However, although the first dream was achieved, he hit a huge wall trying to make his second dream comes true.The Demon doesn’t want to marry someone by force, he wants someone who loves himself from the bottom of her heart. However the demon absolutely has zero experience with woman since he didn’t interact with them for almost 380 years.This is a story about the struggles of a woman that is going to marry the demon king that holds tremendous power.",4,FALSE
"4-gatsu, Sore wa…","http://novelplanet.com/Novel/%34%2d%67%61%74%73%75%2d%53%6f%72%65%2d%77%61%e2%80%a6",2009,"Slice of Life            ",FALSE,"Unknown","There are twenty independent stories written by twenty different authors, sharing the common theme of “April”.  An anthology that is considered a rare item as it has never hit the shelves as a standalone book. There is no ISBN and it is an unbuyable except in online auctions. The anthology was published as a bonus gift to Dengeki Magazine readers in 2009.",1,FALSE
"7 Days","http://novelplanet.com/Novel/%37%2d%44%61%79%73",2009,"Comedy, Historical, Romance, Shounen Ai            ",TRUE,"polarbearadise","The second young master of Shen Zhuang Jia, Shen Heng, during the time he was sent to take care of the stable, he encountered a flower thief falling from the sky. The flower thief is very dedicated, very serious and very beautiful During seven days, what methods does he have to used to deal with the flower thief? “It doesn’t matter, just castrate him.”—Shen Pian “Outstanding beauty……” — Ouyang Qi “Dragged out, chop into pieces and feed to the dogs!” —Shen Ping *This novel is like a diary describing their meeting from Shen Heng’s perspective in the seven days*",7,FALSE
"7 Killers","http://novelplanet.com/Novel/%37%2d%4b%69%6c%6c%65%72%73",1973,"Wuxia            ",TRUE,"Unknown","Dragon 5th is a powerful lord with incredible martial arts, and yet is wasting away from a fatal disease. The only medicine which can cure his sickness lies in the clutches of his venemous ex-wife, Madam Lovesickness, and is guarded by 7 dangerous killers, fugitives of the martial world. To retrieve the antidote, Dragon 5th hires Liu Changjie, a skilled martial artist who loves drinking and women, but has a mysterious past. All is not what it seems in this wuxia heist story.",8,FALSE
"9 Coffins of the Immortals","http://novelplanet.com/Novel/%39%2d%43%6f%66%66%69%6e%73%2d%6f%66%2d%74%68%65%2d%49%6d%6d%6f%72%74%61%6c%73",NA,"Action, Adventure, Comedy, Fantasy, Harem, Martial Arts, Xianxia            ",FALSE,"lightnovels.world","An orphan who was brought up by a bunch of bandits who are hated by all, is our anti-hero Fang-Xing. He’s not afraid of making enemies who are stronger than him in this world, where the weak pays a hefty price with their lives. The story follows unexpected turns and twists that will have you reading at the edge of your seats and many sleepless nights.",12,FALSE
"9 Heavenly Thunder Manual","http://novelplanet.com/Novel/%39%2d%48%65%61%76%65%6e%6c%79%2d%54%68%75%6e%64%65%72%2d%4d%61%6e%75%61%6c",2010,"Action, Adult, Drama, Fantasy, Harem, Martial Arts, Mature, Romance, Tragedy, Xianxia            ",FALSE,"gravitytales.com","The main character Lei Yu does not have the ability to practice his family’s martial arts. He gets stepped on and tossed around. Due to certain reasons, he leaves the family, coincidentally gains an ability, and makes his own path to becoming an immortal. [!!!] WARNINGS: Racism – The Kou Country Arc is a bit racist so read it with a grain of salt. [!!!]",258,FALSE
"99th vampire princess ~The last vampire~","http://novelplanet.com/Novel/%39%39%74%68%2d%76%61%6d%70%69%72%65%2d%70%72%69%6e%63%65%73%73%2d%54%68%65%2d%6c%61%73%74%2d%76%61%6d%70%69%72%65",NA,"Action, Fantasy, Romance, Supernatural            ",FALSE,"Light Novels with Misa-chan","“Lores”— substantial forms born out of urban legends. And high-schooler Tsukumo Jin, who had accidentally released the strongest and most well-known “lore of the vampire”, was now the butler (and lover) of Sylvia, the vampire princess who chooses to take on the form of a little girl. Jin was also tasked with saving his beloved little sister Shigure by banishing the “one-man hide-and-seek” urban legend with the help of mysterious transfer student Ayase. It was the beginning of the battle with “the last vampire”, the hidden entity orchestrating these incidents…",3,FALSE
"9S","http://novelplanet.com/Novel/%39%53",2003,"Action, Mystery, Sci-fi, Shounen            ",FALSE,"Unknown","The Security System that Seals the Savage Science Smartly by its Supreme Sagacity and Strength 9S is set in an age of science, but in a too distant future. The Mad Scientist, Mineshima Yujiro, disappeared several years previous to where the story begins. The inheritance he left behind, the technology and objects he had created, were given the codename ‘Legacy’, and are highly sought after by government agencies and terrorists, for reasons both good, and…not so pleasant. One of these ‘objects’ he left behind was his daughter, imparted with a mental calculating capacity that dwarfs supercomputers, combined with her physical body, which makes for a devastating combination.",2,FALSE
"A Book Dedicated to Our Youth","http://novelplanet.com/Novel/%41%2d%42%6f%6f%6b%2d%44%65%64%69%63%61%74%65%64%2d%74%6f%2d%4f%75%72%2d%59%6f%75%74%68",2010,"Josei, Romance            ",FALSE,"Unknown","There are always moments far in the past that remain forever engraved in our memory. The last decade of the 2000’s was chock full of unique memories – memories of The Little Tigers, The Bund, and the Four Heavenly Kings that brought us great emotions now rest with the dust-covered journals of our youth. Born in the 80’s, Tong Hua has brought together a classic youth book that reminds readers that those timeless memories of our youth are only so precious due to their brief nature. Bring those memories back once again with this memorable read; though we are gradually aging and leaving our past behind, our warm, child-like spirits will never fade!",27,FALSE
